"Genes,Type"
"RHOBTB1,Down"
"COL5A2,Down"
"ANO5,Down"
"LEFTY2,Down"
"CHRDL1,Down"
"SCG5,Down"
"RCAN2,Down"
"PCOLCE2,Down"
"TRPC1,Down"
"FAM162B,Down"
"SGCB,Down"
"RGS22,Down"
"UBXN10,Down"
"KCNK3,Down"
"TCF21,Down"
"ELANE,Down"
"AMOTL2,Down"
"DDIT4L,Down"
"SLC14A1,Down"
"C16ORF89,Down"
"FRMD6,Down"
"DDR2,Down"
"KCND1,Down"
"RIPOR2,Down"
"HSPB8,Down"
"TOX,Down"
"KIF7,Down"
"HLF,Down"
"BDH2,Down"
"HSD11B1,Down"
"NEGR1,Down"
"SCN7A,Down"
"GADD45A,Down"
"SLC47A1,Down"
"HAPLN4,Down"
"COL4A1,Down"
"MAMDC2,Down"
"C12ORF75,Down"
"CNTN1,Down"
"FEZ1,Down"
"INSYN1,Down"
"PGR,Down"
"DPYSL3,Down"
"C1QTNF2,Down"
"PTGER2,Down"
"FLNC,Down"
"NDP,Down"
"CRYAB,Down"
"ARMH4,Down"
"PRKG1,Down"
"BDNF,Down"
"RBP1,Down"
"PODN,Down"
"TMEM35A,Down"
"EHD2,Down"
"TM6SF2,Down"
"CCDC89,Down"
"PNMA1,Down"
"MYBL1,Down"
"CLIP4,Down"
"MTMR11,Down"
"RBPMS2,Down"
"TWIST2,Down"
"HEPH,Down"
"MCF2,Down"
"PTGIS,Down"
"PALD1,Down"
"GLT8D2,Down"
"CCDC3,Down"
"MMP14,Down"
"ADRB3,Down"
"PTGDS,Down"
"PRSS35,Down"
"PCOLCE,Down"
"ENO2,Down"
"GPM6A,Down"
"KCNB1,Down"
"ITGB1BP2,Down"
"LY6G6D,Down"
"ZFP91-CNTF,Down"
"EMX2,Down"
"CFL2,Down"
"DMPK,Down"
"COX7A1,Down"
"EPHA3,Down"
"KCNAB1,Down"
"MSANTD4,Down"
"GBP1,Down"
"KIF26B,Down"
"EGFL6,Down"
"C1S,Down"
"RUSC2,Down"
"HSPB6,Down"
"MMP16,Down"
"NTRK3,Down"
"LAPTM4B,Down"
"CTF1,Down"
"CAVIN2,Down"
"FOXF1,Down"
"NRG2,Down"
"TCEAL2,Down"
"PLTP,Down"
"TRPV2,Down"
"HPD,Down"
"SGCA,Down"
"ATP11C,Down"
"LAMB1,Down"
"GPSM2,Down"
"FBXO17,Down"
"PLK2,Down"
"CTSK,Down"
"GIPC2,Down"
"TMEM176A,Down"
"PITX2,Down"
"SNX7,Down"
"CCDC69,Down"
"SGCG,Down"
"CAVIN3,Down"
"ELAVL3,Down"
"C5ORF34,Down"
"FAT3,Down"
"INMT,Down"
"ALKAL2,Down"
"SLC4A3,Down"
"ROBO2,Down"
"C8ORF88,Down"
"PRKAR2B,Down"
"PLEKHH2,Down"
"OGN,Down"
"CAV2,Down"
"PAK5,Down"
"OCA2,Down"
"KRT23,Down"
"ANO6,Down"
"PGM5,Down"
"SMIM10L2A,Down"
"CEL,Down"
"HS6ST2,Down"
"ECRG4,Down"
"DDO,Down"
"TGFB1I1,Down"
"CFH,Down"
"ALPK3,Down"
"NACAD,Down"
"JAM3,Down"
